part_number,manufacturer,condition,price,quantity,status,description
12SD006APB,Lenovo,NEW,1042.49,7,ON-SITE,Lenovo ThinkCentre neo 50a 24 Gen 5 Intel Core 7 240H 60.5 cm (23.8 ) 1920 x 1080 pixels Touchscreen All-in-One PC 16 GB DDR5-SDRAM 1000 GB SSD Windows 11 Pro Wi-Fi 6 (802.11ax) Grey
F0HQ0041PB,Lenovo,NEW,853.48,7,ON-SITE,Lenovo IdeaCentre AIO 27ARR9 AMD Ryzen™ 7 7735HS 68.6 cm (27 ) 1920 x 1080 pixels All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Wi-Fi 6 (802.11ax) Windows 11 Home Grey
P440VAK-WPC204X,ASUS,NEW,867.46,6,ON-SITE,ASUS AIO P440VAK-WPC204X Core 5 210H 23.8 FHD 100Hz 250nits AG 16GB DDR5 SSD512 Intel Graphics WLAN+BT Cam1080p W11Pro White 3Y OnSite
F0HN00SCPB+888015471,Lenovo,NEW,776.41,5,ON-SITE,Lenovo IdeaCentre AIO 24IRH9 i5-13420H 23.8 FHD IPS AG 250 nits 100 Hz 16 GB DDR5 5200 SSD 1 TB Intel UHD Graphics Windows 11 Cloud Grey + Lenovo Slim DVD Burner DB65 (888015471)
F0JY0020PB,Lenovo,NEW,888.58,5,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 Ultra 7 256V 23.8 FHD IPS 250 nits 100 Hz LBL AG 16 GB LPDDR5X 512 GB SSD Intel Arc Graphics 140V Windows 11 Cloud Grey
F0JY0023PB,Lenovo,NEW,790.93,5,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 Ultra 5 226V 23.8 FHD IPS 250 nits 100 Hz AG 16 GB LPDDR5X-8533 512 GB SSD Intel Arc Graphics 130V 5.0 MP webcam Windows 11 Cloud Grey
F0JY001YPB,Lenovo,NEW,722.79,5,ON-SITE,Lenovo IdeaCentre AIO 24ILL11 Ultra 7 256V 23.8 FHD IPS 250 nits 100 Hz AG 16 GB LPDDR5X-8533 512 GB SSD Intel Arc Graphics 140V 5.0 MP webcam No OS Luna Grey
PRO AP272P 14M-886XEU,MSI,NEW,920.63,5,ON-SITE,MSI AIO PRO AP272P 14M-886XEU i7-14700 27 IPS LED FHD Non-Touch Anti-Glare 16GB SSD 1TB M.2 AX211 WiFi 6E No OS Black
F0HM00RSPB,Lenovo,NEW,791.9,4,ON-SITE,Lenovo IdeaCentre AIO 27IRH9 i5-13420H 27 FHD IPS 300nits AG 16GB DDR5 5200 SSD512 Intel UHD Graphics Win11 Cloud Grey
P440VAK-BPCG25X,ASUS,NEW,929.92,4,ON-SITE,ASUS AIO P440VAK-BPCG25X Core 5 210H 23.8 FHD 250 nits 100 Hz AG 16 GB DDR5 SSD 512 Intel Graphics WLAN+BT Cam 1080p W11Pro Black 3Y OnSite
9U2K4EA,Hewlett-Packard,NEW,786.11,4,ON-SITE,HP 27-cr0222nw AMD Ryzen™ 7 7730U 68.6 cm (27 ) 1920 x 1080 px All-in-One PC 16 GB DDR4-SDRAM 512 GB SSD Windows 11 Home Wi-Fi 6 (802.11ax) White
BY7D3ET,Hewlett-Packard,NEW,970.74,3,ON-SITE,HP ProStudio 4 G1i AI PC Intel Core Ultra 5 225 1920 x 1080 px All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6E (802.11ax) Black
F0HN00SCPB,Lenovo,NEW,815.43,2,ON-SITE,Lenovo IdeaCentre AIO 24IRH9 Intel® Core™ i5 i5-13420H 60.5 cm (23.8 ) FHD All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD Windows 11 Home Wi-Fi 6 (802.11ax) Grey
